id,special_id,category_id
1000001,1000001,1000001
1000002,1000001,1000022
1000003,1000002,1000008
1000004,1000003,1000001
1000005,1000003,1000022
1000006,1000004,1000001
1000007,1000004,1000023
1000008,1000005,1000009
1000009,1000006,1000013
1000010,1000007,1000001
1000011,1000007,1000022
1000012,1000007,1000023
1000013,1000008,1000005
1000014,1000009,1000001
1000015,1000009,1000010
1000016,1000010,1000001
1000017,1000010,1000022
1000018,1000011,1000022
1000019,1000011,1000023
1000020,1000012,1000009
1000021,1000012,1000018
1000022,1000013,1000001
1000023,1000014,1000014
1000024,1000015,1000016
1000025,1000015,1000022
1000026,1000015,1000023
1000027,1000016,1000001
1000028,1000016,1000022
1000029,1000017,1000005
1000030,1000018,1000005
1000031,1000019,1000016
1000032,1000020,1000016
1000033,1000021,1000001
1000034,1000021,1000022
1000035,1000022,1000008
1000036,1000023,1000001
1000037,1000023,1000022
1000038,1000024,1000001
1000039,1000024,1000023
1000040,1000025,1000009
1000041,1000026,1000013
1000042,1000027,1000001
1000043,1000027,1000022
1000044,1000027,1000023
1000045,1000028,1000005
1000046,1000029,1000001
1000047,1000029,1000010
1000048,1000030,1000001
1000049,1000030,1000022
1000050,1000031,1000022
1000051,1000031,1000023
1000052,1000032,1000009
1000053,1000032,1000018
1000054,1000033,1000001
1000055,1000034,1000014
1000056,1000035,1000016
1000057,1000035,1000022
1000058,1000035,1000023
1000059,1000036,1000001
1000060,1000036,1000022
1000061,1000037,1000005
1000062,1000038,1000005
1000063,1000039,1000016
1000064,1000040,1000016
